ID,Name,Category,Overall,,,Vision Encoder,,,,,LLM Backbone,,,,Adaptor,,,
,,,PT,IT,FT,Name,Resolution,PT,IT,FT,Name,PT,IT,FT,Name,PT,IT,FT
1,Arctic-TILT,end-to-end,trained,-,trained,U-Net,not specified; OCR-token grid up to 389k input tokens,trained,-,trained,T5-Large,trained,-,trained,TILT text-image-layout fusion / 2D bias / sparse attention,trained,-,trained
2,AVIR,partial,-,-,trained,Pix2Struct,Pix2Struct encoder not specified; Qwen2.5-VL dynamic pixels 768-5120 x 28 x 28,-,-,frozen,Qwen2.5-VL-3B-AWQ,-,-,frozen,Self-attention retrieval scorer (2 layers + sigmoid),-,-,trained
3,CoR,partial,-,trained,trained,Qwen2.5-VL,max sequence 32k; image resolution not specified,-,frozen,frozen,Qwen2.5-VL-7B,-,frozen (LoRA),trained (full SFT + DPO LoRA),LoRA on LM + multimodal projector; Mask-AR / CoR SFT / DPO,-,trained,trained
4,CREAM,partial,-,-,trained,Pix2Struct,not specified,-,-,frozen,LLaMA2-7B,-,-,frozen (LoRA + norm/bias tuning),Attention pooling + AdapterMLP + LoRA + prefix/bias/norm tuning,-,-,trained
5,DFVC,partial,-,-,trained,"VisRAG, ColQwen",not specified,-,-,frozen,Qwen2-VL-2B-Instruct,-,-,frozen,Cross-page fusion MLP adapter,-,-,trained
6,Doc-V*,end-to-end,-,trained,trained,ColQwen,1024x768 high-resolution page tokens; 256x256 thumbnails,-,frozen,frozen,Qwen2.5-VL-7B-Instruct,-,trained,trained,No new adapter; frozen Qwen2.5-VL MLP projector; agent-action SFT + GRPO objective,-,frozen,frozen
7,DocAgent,training-free,-,-,-,-,-,-,-,-,"Gemini 2.0 Flash, GPT-4o, Claude Sonnet 3.5",-,-,-,-,-,-,-
8,DocDancer,end-to-end,-,-,-,Qwen3-VL-235B-A22B-Instruct,not specified for Read-tool screenshots; VLM baselines rendered at 144 dpi,-,frozen (external reader),-,Qwen3-4B/30B-A3B,-,trained,-,No adapter; supervised agent-trajectory fine-tuning objective,-,-,-
9,DocLens,training-free,-,-,-,N/A (frontier VLMs consume page screenshots + cropped visual elements directly),not specified,-,-,-,"Gemini-2.5-Pro, Gemini-2.5-Flash, Claude-4-Sonnet",-,-,-,-,-,-,-
10,Docopilot,end-to-end,-,trained,-,InternViT-300M,448 tile resolution; max 24 tiles; 32k tokens,-,trained,-,"InternLM2-1.8B,InternLM2.5-7B",-,trained,-,2-layer MLP projector / connector,-,trained,-
11,DocR1,end-to-end,-,-,-,Qwen2.5-VL,max 1024 x 28 x 28 visual tokens,-,-,trained (not stated frozen),Qwen2.5-VL-7B,-,-,trained,No new adapter; EviGRPO evidence-guided RL objective,-,-,-
12,DocReact,training-free,-,-,-,"ColPali, VisRAG-Ret",not specified,-,-,-,GPT-4o,-,-,-,-,-,-,-
13,DocSLM,end-to-end,trained,trained,trained,SigLIP2,576 tokens/page; dynamic crop settings 384-1152,trained,frozen,frozen,Qwen2.5-1.5B,frozen,trained,trained,OCR compressor + vision compressor + MLP adapter; streaming abstention objective,trained,trained,trained
14,GRAM,end-to-end,-,-,trained,DocFormerv2,800 tokens/page during training; 8000 tokens/page at test,-,-,trained,DocFormerv2,-,-,trained,Doc tokens + doc sub-layers + bias adaptation + optional C-Former,-,-,trained
15,Hi-VT5,partial,trained,-,trained,DiT,"20,480 max input tokens; image patch resolution not specified",frozen (projection trained),-,frozen,T5,trained,-,trained (decoder/page head),[PAGE] tokens + page prediction head + layout-aware denoising objective,trained,-,trained
16,InstructDoc,partial,-,trained,trained,CLIP,224 image resize,-,frozen,frozen,"FlanT5, BLIP2",-,frozen,frozen,Document-former + projection FFN + spatial OCR embeddings,-,trained,trained
17,KGP,partial,-,trained (LoRA where used),-,-,-,-,-,-,"T5-large, LLaMa-7B, MDR (RoBERTa), ChatGPT",trained (MDR encoder),trained,-,LoRA for LLaMA traversal agent; KG construction + traversal controller,-,trained (LoRA where used),-
18,LayTokenLLM,partial,trained,trained,-,-,OCR text/layout tokens; 2k PT and 4k/16k SFT position IDs,-,-,-,"LLaMA3-8B, Qwen1.5-7B",frozen,frozen,-,LoRA + layout tokenizer + layout head,trained,trained,-
19,Leopard,partial,trained,trained,-,SigLIP-SO400M,364x364 (LLaVA); 980x980 (Idefics2); default max 50 sub-images,frozen,frozen (not unfrozen stated),-,"LLaMa-3.1-8B, Mistral-7B",frozen,trained,-,2-layer MLP connector / Idefics2 feature resampler + adaptive high-res multi-image encoding,trained,trained,-
20,M2RAG,partial,-,-,trained,VisRAG-Ret (MiniCPM-V based),not specified,-,-,frozen,"Qwen2.5-7B-Instruct, Qwen2.5-VL-7B-Instruct, Qwen2.5-VL-32B",-,-,frozen (LoRA),Qwen2.5-VL LoRA visual extractor + modal fuser distillation,-,-,trained
21,M3DocRAG,training-free,-,-,-,"ColPali, ColQwen (secondary)",not specified,-,-,-,"Qwen2-VL-7B, InternVL2-8B, Idefics2-8B, Idefics3-8B",-,-,-,-,-,-,-
22,MACT,end-to-end,-,-,-,Qwen2.5-VL-7B-Instruct / MiMo-VL-7B-SFT / InternVL3-9B (VLM for plan+execute agents),not specified,-,trained (SFT; not stated frozen),trained (GRPO),Plan/Exec: Qwen2.5-VL-7B or MiMo-VL-7B-SFT or InternVL3-9B; Judge/Answer: Qwen2.5-7B/3B or MiMo-7B-SFT or InternVL3-8B/2B,-,trained,trained (GRPO),No adapter; multi-agent SFT + GRPO / reward-model objective,-,-,-
23,MDocAgent,training-free,-,-,-,"ColPali, ColQwen2",144 dpi page rendering,-,-,-,"LLaMA-3.1-8B-Instruct, Qwen2-VL-7B-Instruct",-,-,-,-,-,-,-
24,MHier-RAG,training-free,-,-,-,Qwen-VL-Plus,not specified,-,-,-,"Qwen-VL-Plus, GPT-3-turbo, Qwen-turbo, GPT-4o, DeepSeek-chat, ERNIE-turbo",-,-,-,-,-,-,-
25,MLDocRAG,partial,-,-,-,N/A (LVLM Qwen2.5-VL used directly on multimodal chunks),not specified,-,-,trained (optional 7B MDoc2Query SFT),Qwen2.5-VL-32B-Instruct (default LVLM for MDoc2Query and final answer); Qwen2.5-VL-7B (MDoc2Query optimisation); Qwen2.5-72B (LLM-as-a-Judge evaluator only),-,-,trained (optional 7B MDoc2Query SFT),No adapter; optional MDoc2Query SFT objective,-,-,-
26,MoLoRAG,partial,-,-,-,ColPali,not specified,-,-,trained (MoLoRAG+ retrieval-engine SFT),"Qwen2.5-VL 3B/7B, Deepseek-VL-16B, LlaVa-Next-7B",-,-,trained (MoLoRAG+ retrieval-engine SFT),No adapter; graph traversal retrieval engine SFT for MoLoRAG+,-,-,-
27,mPLUG-DocOwl2,end-to-end,trained,-,trained,ViT-L/14,504x504 sub/global images; max 12 crops; 324 visual tokens/image,trained then frozen,-,frozen,mPLUG-Owl2,frozen,-,trained,H-Reducer + High-resolution DocCompressor + MAM,trained,-,trained
28,MultiDocFusion,partial,-,trained,-,-,-,-,-,-,"Mistral-8B, Llama-3.2-3B, Qwen-2.5-3B, Qwen-2.5-7B",-,trained,-,LoRA/QLoRA for DSHP-LLM hierarchy parser + DFS chunking,-,trained,-
29,PDF-WuKong,end-to-end,-,-,trained,IXC2-VL-4KHD,dynamic tiles max 16; IXC2-VL-4KHD supports 336 px to 4K HD,-,-,trained,IXC2-VL-4KHD,-,-,trained,End-to-end sparse sampler + BGE-M3 text encoder,-,-,trained
30,RAG-DocVQA,partial,-,-,trained,"DiT, Pix2Struct",Pix2Struct: 2048 patches of 16x16; DiT/image chunk resolution not specified,-,-,trained (VT5); frozen (Pix2Struct target versions),"VT5,Qwen2.5-VL-7B-Instruct",-,-,trained (VT5 full; Qwen LoRA),Retriever bi-encoder + cross-encoder reranker + Qwen LoRA,-,-,trained
31,RM-T5,partial,trained,-,trained,DiT,512 tokens/page maximum,-,-,frozen,T5-base,trained,-,trained (decoder),Memory tokens + page prediction head,trained,-,trained
32,Self-Attention Scoring,partial,-,-,trained,Pix2Struct,2048 patches of 16x16,-,-,frozen,Pix2Struct,-,-,frozen,Self-attention scoring module (self-attention + 3 linear layers),-,-,trained
33,SimpleDoc,training-free,-,-,-,ColQwen-2.5,not specified,-,-,-,"Qwen2.5-VL-32B-Instruct, Qwen3-30B-A3B",-,-,-,-,-,-,-
34,TextHawk2,end-to-end,trained,trained,-,SigLIP-SO400M,224x224 base; PT max 36 sub-images / 1.8M pixels / 2688 long edge; SFT max 72 sub-images,trained,trained,-,Qwen2-7B-Instruct,trained,trained,-,QPN + ReSA token compressor + detection head + grounding tokens,trained,trained,-
35,VDocRAG,partial,trained,-,trained,Phi3V-4.2B,336x336 dynamic crops; evaluated up to 1344x1344,frozen,-,frozen,Phi3V-4.2B,frozen (LoRA),-,frozen (LoRA),LLM LoRA; frozen two-layer MLP projector; RCR/RCG retriever pretraining tasks,trained,-,trained
36,ViDoRAG,training-free,-,-,-,"Nv-embed-V2, ColQwen2",not specified,-,-,-,"Qwen2.5-VL, LLaMA3.2-Vision, GPT-4o",-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,
